ID,SideA,SideB,Version
1,Hollywood,Well,Codenames
2,Screen,Fair,Codenames
3,Play,Tooth,Codenames
4,Marble,Staff,Codenames
5,Dinosaur,Bill,Codenames
6,Cat,Shot,Codenames
7,Pitch,King,Codenames
8,Bond,Pan,Codenames
9,Greece,Square,Codenames
10,Deck,Buffalo,Codenames
11,Spike,Scientist,Codenames
12,Center,Chick,Codenames
13,Vacuum,Atlantis,Codenames
14,Unicorn,Spy,Codenames
15,Undertaker,Mail,Codenames
16,Sock,Nut,Codenames
17,Loch Ness,Log,Codenames
18,Horse,Pirate,Codenames
19,Berlin,Face,Codenames
20,Platypus,Stick,Codenames
21,Port,Disease,Codenames
22,Chest,Yard,Codenames
23,Box,Mount,Codenames
24,Compound,Slug,Codenames
25,Ship,Dice,Codenames
26,Watch,Lead,Codenames
27,Space,Hook,Codenames
28,Flute,Carrot,Codenames
29,Tower,Poison,Codenames
30,Death,Stock,Codenames
31,Foot,New York,Codenames
32,Torch,State,Codenames
33,Arm,Bermuda,Codenames
34,Figure,Park,Codenames
35,Mine,Turkey,Codenames
36,Suit,Chocolate,Codenames
37,Crane,Trip,Codenames
38,Beijing,Racket,Codenames
39,Mass,Bat,Codenames
40,Microscope,Jet,Codenames
41,Engine,Shakespeare,Codenames
42,China,Bolt,Codenames
43,Straw,Switch,Codenames
44,Pants,Wall,Codenames
45,Europe,Soul,Codenames
46,Boot,Ghost,Codenames
47,Princess,Time,Codenames
48,Link,Dance,Codenames
49,Luck,Amazon,Codenames
50,Olive,Grace,Codenames
51,Palm,Moscow,Codenames
52,Teacher,Pumpkin,Codenames
53,Thumb,Antarctica,Codenames
54,Octopus,Whip,Codenames
55,Hood,Heart,Codenames
56,Tie,Table,Codenames
57,Doctor,Ball,Codenames
58,Wake,Fighter,Codenames
59,Cricket,Cold,Codenames
60,Millionaire,Day,Codenames
61,Spring,Court,Codenames
62,Match,Iron,Codenames
63,Diamond,Whale,Codenames
64,Centaur,Shadow,Codenames
65,March,Contract,Codenames
66,Roulette,Mercury,Codenames
67,Dog,Conductor,Codenames
68,Cross,Seal,Codenames
69,Wave,Car,Codenames
70,Duck,Ring,Codenames
71,Wind,Kid,Codenames
72,Spot,Piano,Codenames
73,Skyscraper,Laser,Codenames
74,Paper,Sound,Codenames
75,Apple,Pole,Codenames
76,Oil,Superhero,Codenames
77,Cook,Revolution,Codenames
78,Fly,Pit,Codenames
79,Cast,Gas,Codenames
80,Bear,Glass,Codenames
81,Pin,Washington,Codenames
82,Thief,Bark,Codenames
83,Trunk,Snow,Codenames
84,America,Ivory,Codenames
85,Novel,Pipe,Codenames
86,Cell,Cover,Codenames
87,Bow,Degree,Codenames
88,Model,Tokyo,Codenames
89,Knife,Church,Codenames
90,Knight,Pie,Codenames
91,Tube,Point,Codenames
92,Block,France,Codenames
93,Comic,Mammoth,Codenames
94,Fish,Cotton,Codenames
95,Bridge,Robin,Codenames
96,Moon,Net,Codenames
97,Part,Bugle,Codenames
98,Aztec,Maple,Codenames
99,Smuggler,England,Codenames
100,Train,Field,Codenames
101,Embassy,Robot,Codenames
102,Pupil,Plot,Codenames
103,Scuba Diver,Africa,Codenames
104,Ice,Tag,Codenames
105,Tap,Mouth,Codenames
106,Code,Kiwi,Codenames
107,Shoe,Mole,Codenames
108,Server,School,Codenames
109,Club,Sink,Codenames
110,Row,Pistol,Codenames
111,Pyramid,Opera,Codenames
112,Bug,Mint,Codenames
113,Penguin,Root,Codenames
114,Pound,Sub,Codenames
115,Himalayas,Crown,Codenames
116,Czech,Back,Codenames
117,Rome,Plane,Codenames
118,Eye,Mexico,Codenames
119,Board,Cloak,Codenames
120,Bed,Circle,Codenames
121,Tablet,Slip,Codenames
122,Australia,Limousine,Codenames
123,Green,Pass,Codenames
124,Egypt,Theater,Codenames
125,Line,Plate,Codenames
126,Lawyer,Satellite,Codenames
127,Witch,Ketchup,Codenames
128,Parachute,Hotel,Codenames
129,Crash,Tail,Codenames
130,Gold,Tick,Codenames
131,Note,Ground,Codenames
132,Lion,Police,Codenames
133,Plastic,Dwarf,Codenames
134,Web,Fan,Codenames
135,Ambulance,Dress,Codenames
136,Hospital,Saturn,Codenames
137,Spell,Grass,Codenames
138,Lock,Brush,Codenames
139,Water,Chair,Codenames
140,London,Rock,Codenames
141,Casino,Pilot,Codenames
142,Cycle,Telescope,Codenames
143,Bar,File,Codenames
144,Cliff,Lab,Codenames
145,Round,India,Codenames
146,Bomb,Ruler,Codenames
147,Giant,Nail,Codenames
148,Hand,Swing,Codenames
149,Ninja,Olympus,Codenames
150,Rose,Change,Codenames
151,Date,Drill,Codenames
152,Stream,Glove,Codenames
153,Missile,Paste,Codenames
154,Scale,Fall,Codenames
155,Band,Fire,Codenames
156,Angel,Spider,Codenames
157,Press,Spine,Codenames
158,Berry,Soldier,Codenames
159,Card,Horn,Codenames
160,Check,Queen,Codenames
161,Draft,Ham,Codenames
162,Head,Litter,Codenames
163,Lap,Life,Codenames
164,Orange,Temple,Codenames
165,Ice Cream,Rabbit,Codenames
166,Film,Button,Codenames
167,Washer,Game,Codenames
168,Pool,Star,Codenames
169,Shark,Jupiter,Codenames
170,Van,Vet,Codenames
171,String,Night,Codenames
172,Calf,Air,Codenames
173,Hawk,Battery,Codenames
174,Eagle,Genius,Codenames
175,Needle,Shop,Codenames
176,Forest,Bottle,Codenames
177,Dragon,Stadium,Codenames
178,Key,Alien,Codenames
179,Belt,Light,Codenames
180,Cap,Triangle,Codenames
181,Lemon,Bell,Codenames
182,Nurse,Leprechaun,Codenames
183,Drop,Pheonix,Codenames
184,Track,Force,Codenames
185,Bank,Boom,Codenames
186,Germany,Fork,Codenames
187,Worm,Alps,Codenames
188,Ray,Post,Codenames
189,Capital,Fence,Codenames
190,Strike,Kangaroo,Codenames
191,War,Mouse,Codenames
192,Concert,Mug,Codenames
193,Honey,Horseshoe,Codenames
194,Canada,Scorpion,Codenames
195,Buck,Agent,Codenames
196,Snowman,Helicopter,Codenames
197,Beat,Hole,Codenames
198,Jam,Organ,Codenames
199,Copper,Jack,Codenames
200,Beach,Charge,Codenames
201,Horse,Sauna,Undercover
202,Alcohol,Sausage,Undercover
203,Bitch,Score,Undercover
204,Hole,Secretary,Undercover
205,Balloon,Semen,Undercover
206,Knob,Sex,Undercover
207,Bender,Shaft,Undercover
208,Mushroom,Shame,Undercover
209,Fatty,Share,Undercover
210,Mole,Shave,Undercover
211,Brown,Shower,Undercover
212,Ice,Skank,Undercover
213,Hamster,Skirt,Undercover
214,Pillows,Smell,Undercover
215,Carpet,Smoke,Undercover
216,Fish,Snatch,Undercover
217,Grass,Sniff,Undercover
218,Drunk,Softballs,Undercover
219,Cheek,Solo,Undercover
220,Keg,Spank,Undercover
221,Rectum,Speed,Undercover
222,Cocktail,Sperm,Undercover
223,Cucumber,Spoon,Undercover
224,Noodle,Spread,Undercover
225,Motel,Squirt,Undercover
226,Kinky,Stalker,Undercover
227,Joint,Steamy,Undercover
228,Poop,Stiff,Undercover
229,Line,Stiletto,Undercover
230,Briefs,Stones,Undercover
231,Hooker,Stool,Undercover
232,Pecker,Straight,Undercover
233,Sheep,Strap,Undercover
234,Roll,Strip,Undercover
235,Regret,Stripper,Undercover
236,Gang,Stud,Undercover
237,Peaches,Swallow,Undercover
238,Couple,Sweat,Undercover
239,Slut,Swimmers,Undercover
240,Orgasm,Taboo,Undercover
241,Oyster,Taco,Undercover
242,Melons,Tail,Undercover
243,Gigolo,Tap,Undercover
244,Latex,Tavern,Undercover
245,Cuffs,Teabag,Undercover
246,Rookie,Tease,Undercover
247,Prick,Tent,Undercover
248,Kitty,Tequila,Undercover
249,Lizard,Threesome,Undercover
250,Boxers,Throat,Undercover
251,Missionary,Tickle,Undercover
252,Emission,tie,Undercover
253,Seed,Tip,Undercover
254,Doggy,Tit,Undercover
255,Lotion,Tongue,Undercover
256,Bust,Tool,Undercover
257,Mesh,Top,Undercover
258,Nurse,Torture,Undercover
259,Turd,Touch,Undercover
260,Naked,Orgy,Undercover
261,Mouth,Touchdown,Undercover
262,Sore,Toy,Undercover
263,Mattress,Train,Undercover
264,Freak,Tramp,Undercover
265,Homerun,Trim,Undercover
266,Screw,Trousers,Undercover
267,Flower,Trunk,Undercover
268,Strobe,Tubesteak,Undercover
269,Pound,Tuna,Undercover
270,Roof,Twig,Undercover
271,Salad,Udders,Undercover
272,Rack,Uranus,Undercover
273,Pie,Vasectomy,Undercover
274,Smegma,Vegas,Undercover
275,Shot,Vein,Undercover
276,Snort,Vibrator,Undercover
277,Baked,Video,Undercover
278,Bottom,Vinyl,Undercover
279,Breast,Virgin,Undercover
280,Pinch,Vodka,Undercover
281,Sin,Vomit,Undercover
282,Diarrhea,Wad,Undercover
283,Intern,Wang,Undercover
284,Beer,Waste,Undercover
285,Flesh,Watch,Undercover
286,Skid,Wax,Undercover
287,Facial,Weed,Undercover
288,Bong,Wench,Undercover
289,Daddy,Wet,Undercover
290,Chest,Whip,Undercover
291,Snake,Whiskey,Undercover
292,Black,White,Undercover
293,Bondage,Wiener,Undercover
294,Foreskin,Wine,Undercover
295,Bar,Wood,Undercover
296,Safe,Girl,Undercover
297,Sack,Job,Undercover
298,Rug,Butt,Undercover
299,Roach,Brownie,Undercover
300,Red,Lube,Undercover
301,Rave,Inch,Undercover
302,Queer,Lingerie,Undercover
303,Queen,Group,Undercover
304,Queef,Hot,Undercover
305,Purple,Gash,Undercover
306,Pucker,Film,Undercover
307,Pub,G-Spot,Undercover
308,Prostate,Chains,Undercover
309,Prison,Donkey,Undercover
310,Pot,Lips,Undercover
311,Porn,Cuddle,Undercover
312,Pork,Bottle,Undercover
313,Pole,Champagne,Undercover
314,Poker,Gerbil,Undercover
315,Player,Balls,Undercover
316,Pitcher,Knees,Undercover
317,Pipe,Cherry,Undercover
318,Pink,Gangbang,Undercover
319,Pimp,Hell,Undercover
320,Pig,Jugs,Undercover
321,Pickle,Hose,Undercover
322,Period,Couch,Undercover
323,Penis,Furry,Undercover
324,Pee,Experiment,Undercover
325,Paddle,Cowgirl,Undercover
326,Package,Grope,Undercover
327,Onion,Bowl,Undercover
328,Nylon,Lick,Undercover
329,Nuts,Blonde,Undercover
330,Nude,Eat,Undercover
331,Nipple,Gay,Undercover
332,Needle,Escort,Undercover
333,Necklace,Commando,Undercover
334,Navel,Gag,Undercover
335,Nail,Hand,Undercover
336,Mug,Bang,Undercover
337,Movie,Jazz,Undercover
338,Motorboat,Crabs,Undercover
339,Monkey,Douche,Undercover
340,Mom,Finger,Undercover
341,Moist,Manboobs,Undercover
342,Mixer,Crack,Undercover
343,Milk,Loose,Undercover
344,Member,Bartender,Undercover
345,Meat,Cream,Undercover
346,Martini,Lobster,Undercover
347,Lust,Knockers,Undercover
348,Love,Coyote,Undercover
349,Liquor,Burn,Undercover
350,Lighter,Cannons,Undercover
351,Legend,Blush,Undercover
352,Juice,Bra,Undercover
353,Joystick,Apples,Undercover
354,Johnson,Banana,Undercover
355,John,Candle,Undercover
356,Jewels,Beach,Undercover
357,Jerk,Crap,Undercover
358,Hotel,Boy,Undercover
359,Horny,Catcher,Undercover
360,Hooters,Legs,Undercover
361,High,Booze,Undercover
362,Herb,Bear,Undercover
363,Headlights,Ashes,Undercover
364,Headboard,Bed,Undercover
365,Head,Chaps,Undercover
366,Hammer,Grandma,Undercover
367,Friction,Eyes,Undercover
368,French,Hurl,Undercover
369,Freckles,Bond,Undercover
370,Fluff,Bling,Undercover
371,Flash,Dildo,Undercover
372,Fist,Club,Undercover
373,Fire,Choke,Undercover
374,Fetish,Bone,Undercover
375,Fecal,Rubber,Undercover
376,Feather,Booty,Undercover
377,Fantasy,Hump,Undercover
378,Drill,Acid,Undercover
379,Drag,Cougar,Undercover
380,Down,Clap,Undercover
381,Dick,Cock,Undercover
382,Dame,Chick,Undercover
383,Condom,Bisexual,Undercover
384,Clam,Blow,Undercover
385,Cigarette,Cigar,Undercover
386,Chubby,Beef,Undercover
387,Bush,Box,Undercover
388,Boob,Biscuits,Undercover
389,Body,Dominate,Undercover
390,Behind,Olive,Undercover
391,Beaver,Pussy,Undercover
392,Beans,Log,Undercover
393,Bacon,Goose,Undercover
394,Ass,Caboose,Undercover
395,Animal,Coozie,Undercover
396,Drum,Bride,Duet
397,Nose,King Arthur,Duet
398,Anchor,Cowboy,Duet
399,Shoulder,Governor,Duet
400,Spirit,Cable,Duet
401,Book,Razor,Duet
402,Kick,Fog,Duet
403,Boss,Fever,Duet
404,Rope,Street,Duet
405,Avalanche,Texas,Duet
406,Sheet,Napoleon,Duet
407,Tuxedo,Earth,Duet
408,Shampoo,Cheese,Duet
409,Frog,Dentist,Duet
410,Milk,Wheel,Duet
411,Gangster,Butterfly,Duet
412,Spurs,Zombie,Duet
413,Step,Joan of Arc,Duet
414,Mummy,Blacksmith,Duet
415,Kung Fu,Clock,Duet
416,Wedding,Columbus,Duet
417,Minotaur,Big Bang,Duet
418,Sleep,Pentagon,Duet
419,Eden,Army,Duet
420,Boxer,Rice,Duet
421,Homer,Minute,Duet
422,Peach,Dollar,Duet
423,Waitress,Shoot,Duet
424,Computer,Cow,Duet
425,Tiger,Joker,Duet
426,Wagon,Univerity,Duet
427,Stamp,Camp,Duet
428,Flood,Mohawk,Duet
429,Manicure,Anthem,Duet
430,Swamp,Einstein,Duet
431,Dressing,Brick,Duet
432,Radio,Crab,Duet
433,Banana,Polish,Duet
434,Pad,Captain,Duet
435,Sun,Letter,Duet
436,Sugar,Director,Duet
437,Ram,Sister,Duet
438,Sack,Mountie,Duet
439,Rainbow,Whistle,Duet
440,Magazine,Brass,Duet
441,Story,Salad,Duet
442,Pig,Cleopatra,Duet
443,Comet,Bath,Duet
444,Chip,Goat,Duet
445,Bean,Lightning,Duet
446,Pop,Sherwood,Duet
447,Page,Sphinx,Duet
448,Groom,River,Duet
449,Paddle,Saloon,Duet
450,Mirror,Ink,Duet
451,Sword,Soup,Duet
452,Tip,Love,Duet
453,Shell,Lumberjack,Duet
454,Peanut,Window,Duet
455,House,Collar,Duet
456,Hit,Ash,Duet
457,Brain,Leaf,Duet
458,Santa,Pitcher,Duet
459,Halloween,Newton,Duet
460,Hide,Crystal,Duet
461,Brazil,Tear,Duet
462,Cone,Skull,Duet
463,Knot,Paint,Duet
464,Wish,Axe,Duet
465,Rust,Wing,Duet
466,Ace,Scratch,Duet
467,Bread,Record,Duet
468,Sumo,Sahara,Duet
469,Reindeer,Kitchen,Duet
470,Tea,Helmet,Duet
471,Armor,Smoke,Duet
472,Toast,Penny,Duet
473,Polo,Gum,Duet
474,Laundry,Bee,Duet
475,Bowl,Guitar,Duet
476,Trick,Nylon,Duet
477,Crusader,Volcano,Duet
478,Farm,Judge,Duet
479,Mona Lisa,Mile,Duet
480,Beer,Tipi,Duet
481,Alaska,Baby,Duet
482,Jellyfish,Stethoscope,Duet
483,Medic,Dream,Duet
484,Mustard,Sand,Duet
485,Hawaii,Dwarf,Duet
486,Bass,Astronaut,Duet
487,Tutu,Coast,Duet
488,Barbecue,Leather,Duet
489,Balloon,Fiddle,Duet
490,Gear,Kiss,Duet
491,Stable,Bikini,Duet
492,Wheelchair,Egg,Duet
493,Storm,Goldilocks,Duet
494,Shorts,Popcorn,Duet
495,Steel,Ear,Duet
496,Bucket,Caesar,Duet
497,Dash,Greenhouse,Duet
498,Walrus,Dust,Duet
499,Lemonade,Slipper,Duet
500,Flag,Troll,Duet
501,Cave,Quack,Duet
502,Ant,Volume,Duet
503,Vampire,Ski,Duet
504,Tattoo,Russia,Duet
505,Ranch,Pearl,Duet
506,Locust,Pacific,Duet
507,Rifle,Boil,Duet
508,Viking,Easter,Duet
509,Blizzard,Quarter,Duet
510,Makeup,Microwave,Duet
511,Potter,Shower,Duet
512,Taste,Fuel,Duet
513,Blues,Earthquake,Duet
514,Golf,Crow,Duet
515,Pine,Magician,Duet
516,Doll,Nerve,Duet
517,Lunch,Thunder,Duet
518,Skates,Musketeer,Duet
519,Craft,Glacier,Duet
520,Pew,Powder,Duet
521,Pen,Roll,Duet
522,Butter,Werewolf,Duet
523,Pillow,Chain,Duet
524,Castle,Second,Duet
525,Scroll,Bunk,Duet
526,Disk,Beard,Duet
527,Drone,Steam,Duet
528,Hammer,Cloud,Duet
529,Floor,Valentine,Duet
530,Jail,Sticker,Duet
531,Break,Snake,Duet
532,Lace,Battleship,Duet
533,Pocket,Battle,Duet
534,Tin,Map,Duet
535,Flat,Virus,Duet
536,Cuckoo,Tornado,Duet
537,Hair,Bicycle,Duet
538,Mud,Parrot,Duet
539,Jeweler,Hamburger,Duet
540,Hercules,Sign,Duet
541,Blade,Noah,Duet
542,Mosquito,Wizard,Duet
543,Pea,Parade,Duet
544,Iceland,Apron,Duet
545,Frost,Curry,Duet
546,Coach,Beam,Duet
547,Potato,Desk,Duet
548,Snap,Saddle,Duet
549,Cake,Rat,Duet
550,Turtle,Bacon,Duet
551,Christmas,Rubber,Duet
552,Cherry,Patient,Duet
553,Moses,Saw,Duet
554,Team,Oasis,Duet
555,Cane,Venus,Duet
556,Bulb,Bench,Duet
557,Biscuit,Rip,Duet
558,Spray,St.Patrick,Duet
559,Pepper,Road,Duet
560,Puppet,Chalk,Duet
561,Mill,Gymnast,Duet
562,Maracas,Meter,Duet
563,Foam,Rodeo,Duet
564,Yellowstone,Silk,Duet
565,Ice Age,Coffee,Duet
566,Memory,Jockey,Duet
567,Jumper,Smoothie,Duet
568,Comb,Salsa,Duet
569,Glasses,Sail,Duet
570,Pizza,Wool,Duet
571,Soap,Tunnel,Duet
572,Big Ben,Garden,Duet
573,Sled,Smell,Duet
574,Violet,Door,Duet
575,Bubble,Wood,Duet
576,Spoon,Country,Duet
577,Onion,Elephant,Duet
578,Genie,Mark,Duet
579,Tank,Blind,Duet
580,Sherlock,Squash,Duet
581,Bay,Mother,Duet
582,Dryer,Drawing,Duet
583,Brother,Rail,Duet
584,Mess,Miss,Duet
585,Ladder,Purse,Duet
586,Scarecrow,Igloo,Duet
587,Notre Dame,Lip,Duet
588,Kilt,Monkey,Duet
589,Shed,Bowler,Duet
590,Bonsai,Sweat,Duet
591,Wonderland,Driver,Duet
592,Sling,Delta,Duet
593,Squirrel,Salt,Duet
594,Hose,Sloth,Duet
595,Marathon,Attic,Duet
